Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Time,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Retweet_or_not,Retweet_Original_Tweet_Content,Retweet_Original_Tweet_Poster,Retweet_Original_Tweet_Time,Retweet_Original_Tweet_PosterID
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Zicoben4/status/1641583089251151873,,https://twitter.com/Zicoben4,1680218882000,2023-03-30 23:28:2,Please listen ,null,5,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/jaysfashionn/status/1641583183425835008,,https://twitter.com/jaysfashionn,1680218904000,2023-03-30 23:28:24,,https://pbs.twimg.com/media/FsgTMx4XsAAP26z?format=jpg&name=small,1,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/treasure_ezeh/status/1641583609621381123,,https://twitter.com/treasure_ezeh,1680219006000,2023-03-30 23:30:6,"Why are my eyes wet,",null,,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/JoshuaTasie/status/1641583659596619777,,https://twitter.com/JoshuaTasie,1680219018000,2023-03-30 23:30:18,"I don get favorite already   
@davido
 God bless you for us",null,186,6,2,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/GGMU4EVER12/status/1641584124191207425,,https://twitter.com/GGMU4EVER12,1680219129000,2023-03-30 23:32:9,Indeed the king is back ,null,95,6,3,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Zoeskey/status/1641585413096710144,,https://twitter.com/Zoeskey,1680219436000,2023-03-30 23:37:16,,null,1,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/nee_dles/status/1641585779234295809,,https://twitter.com/nee_dles,1680219523000,2023-03-30 23:38:43,We are excited to have you back David. ,null,3,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/nee_dles/status/1641585941650210816,,https://twitter.com/nee_dles,1680219562000,2023-03-30 23:39:22,Once you hear Shekpe forget the rest . ,null,3,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/ElvisErnest12/status/1641587039115317248,,https://twitter.com/ElvisErnest12,1680219823000,2023-03-30 23:43:43,"@branch_ng
 I made transfers to two accounts in 
@OPaySupport
 and an account in 
@kudahelp_ng
 but they never got credited and the customer service keeps insisting I stress the beneficiaries including a shop owner to contact their banks with the Session IDs. Who does that? ",https://pbs.twimg.com/media/FsgWs9XWYAEto4x?format=jpg&name=900x900,5,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/machala_cruzz/status/1641587557187174402,,https://twitter.com/machala_cruzz,1680219947000,2023-03-30 23:45:47,"Pelu gbogbo Overhype, ariwo ati radarada oshi yin the song wey make sense for the album no pass 5. With all the noise wey una make, the album no suppose get any bad songs. You just run inside Sambisa like werey iyanaiba for nothing",null,8,,16,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Isaac_Diya2/status/1641587843809132544,,https://twitter.com/Isaac_Diya2,1680220015000,2023-03-30 23:46:55,001,null,3,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Yeahmicee/status/1641588917425041408,,https://twitter.com/Yeahmicee,1680220271000,2023-03-30 23:51:11,Let’s gooo,null,,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/more_blessing9/status/1641590177104637953,,https://twitter.com/more_blessing9,1680220572000,2023-03-30 23:56:12,"Am a available sheeeeee 
#30BGshowTime",null,12,1,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Kayhandsome5/status/1641593728694353922,,https://twitter.com/Kayhandsome5,1680221418000,2023-03-31 0:10:18,Timeless experience it was a crazy moment  congratulations  obo and welcome back boss,null,19,1,1,No,,,,
