Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Time,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Retweet_or_not,Retweet_Original_Tweet_Content,Retweet_Original_Tweet_Poster,Retweet_Original_Tweet_Time,Retweet_Original_Tweet_PosterID
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/nhtuned/status/1215732387071635459,,https://twitter.com/nhtuned,1578688162000,2020-01-10 20:29:22,see you in dublin,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/halseyfolklore/status/1215732387537129472,,https://twitter.com/halseyfolklore,1578688163000,2020-01-10 20:29:23,YAYYYYYY IM SO EXCITED,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/NIGHTIDIE/status/1215732389185540096,,https://twitter.com/NIGHTIDIE,1578688163000,2020-01-10 20:29:23,manic weekkkkk,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/gagasblood/status/1215732389802061825,,https://twitter.com/gagasblood,1578688163000,2020-01-10 20:29:23,Can’t wait for the album!!!,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/yerisjoo/status/1215732392943550476,,https://twitter.com/yerisjoo,1578688164000,2020-01-10 20:29:24,i am SO excited,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/everIIore/status/1215732393308540929,,https://twitter.com/everIIore,1578688164000,2020-01-10 20:29:24,<33333,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/irllywishuwould/status/1215732393501511681,,https://twitter.com/irllywishuwould,1578688164000,2020-01-10 20:29:24,i’ve been listening all day,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/vintageboombox/status/1215732397804806144,,https://twitter.com/vintageboombox,1578688165000,2020-01-10 20:29:25,literally this is my favorite time of every era... the excitement is REAL!,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/camimorronegf/status/1215732397922246656,,https://twitter.com/camimorronegf,1578688165000,2020-01-10 20:29:25,I LOVED ITTT,null,,,,No,,,,
Post,,https://twitter.com/halsey/status/1215732285216944129,https://twitter.com/jonbellybutton/status/1215732401038667778,,https://twitter.com/jonbellybutton,1578688166000,2020-01-10 20:29:26,So excited,null,,,,No,,,,
