,Tweet_Website,Author_Web_Page_URL,Tweet_Time,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Artist,hashtags,users,Type,Sentiment
228,https://twitter.com/feekas/status/1246069113941704705,https://twitter.com/feekas,2020-04-3 13:36:42,vc fez tudo,2.0,,,Dua Lipa,[],feekas,post-release,Neutral
229,https://twitter.com/Kitsubane/status/1246078336037720067,https://twitter.com/Kitsubane,2020-04-3 14:13:20,going pay artist whose art used promote album without permission knowledge,1.0,,,Dua Lipa,[],Kitsubane,post-release,Positive
230,https://twitter.com/sleepysproutRT/status/1246090882077655041,https://twitter.com/sleepysproutRT,2020-04-3 15:3:12,oi oi keep posting without addressing stolen art issue first,6.0,,,Dua Lipa,[],sleepysproutRT,post-release,Positive
231,https://twitter.com/DuaHelmiinalipa/status/1246098393358913536,https://twitter.com/DuaHelmiinalipa,2020-04-3 15:33:3,proud,1.0,,,Dua Lipa,[],DuaHelmiinalipa,post-release,Positive
232,https://twitter.com/wanderghorl/status/1246118277270491138,https://twitter.com/wanderghorl,2020-04-3 16:52:3,pretty love love dualipa futurenostalgia,1.0,,,Dua Lipa,['#futurenostalgia'],wanderghorl,post-release,Positive
233,https://twitter.com/WhenInManila/status/1246064791212265472,https://twitter.com/WhenInManila,2020-04-3 13:19:31,thank miss madam,,,,Dua Lipa,[],WhenInManila,post-release,Positive
234,https://twitter.com/JohanAn2002/status/1246065863645511680,https://twitter.com/JohanAn2002,2020-04-3 13:23:47,diosa,,,,Dua Lipa,[],JohanAn2002,post-release,Neutral
235,https://twitter.com/tensmatcha/status/1246067310621794304,https://twitter.com/tensmatcha,2020-04-3 13:29:32,please credit artworks properly posting especially commercial purposes,,,,Dua Lipa,[],tensmatcha,post-release,Positive
236,https://twitter.com/DavidGarza7/status/1246067912894320641,https://twitter.com/DavidGarza7,2020-04-3 13:31:55,kygo deus bitch,,,,Dua Lipa,[],DavidGarza7,post-release,Negative
237,https://twitter.com/dancinwithcalum/status/1246067940174131200,https://twitter.com/dancinwithcalum,2020-04-3 13:32:2,omg,,,,Dua Lipa,[],dancinwithcalum,post-release,Neutral
238,https://twitter.com/CrisCA_MX/status/1246068198098653186,https://twitter.com/CrisCA_MX,2020-04-3 13:33:3,creativity incredible world knew fan best thing ever,,,,Dua Lipa,[],CrisCA_MX,post-release,Positive
239,https://twitter.com/VTORFER70897725/status/1246071805296537601,https://twitter.com/VTORFER70897725,2020-04-3 13:47:23,wonderful dualipa,,,,Dua Lipa,[],VTORFER70897725,post-release,Positive
240,https://twitter.com/rodsalmeidax/status/1246073540400402441,https://twitter.com/rodsalmeidax,2020-04-3 13:54:17,love,,,,Dua Lipa,[],rodsalmeidax,post-release,Positive
241,https://twitter.com/omovimentoezack/status/1246077021265915907,https://twitter.com/omovimentoezack,2020-04-3 14:8:7,demorou,,,,Dua Lipa,[],omovimentoezack,post-release,Neutral
242,https://twitter.com/rightzara/status/1246078521404985347,https://twitter.com/rightzara,2020-04-3 14:14:5,serve,,,,Dua Lipa,[],rightzara,post-release,Neutral
243,https://twitter.com/luvborderline/status/1246150730240733184,https://twitter.com/luvborderline,2020-04-3 19:1:1,listening repeat,1.0,,,Dua Lipa,[],luvborderline,post-release,Neutral
244,https://twitter.com/susan08716246/status/1246154448126259200,https://twitter.com/susan08716246,2020-04-3 19:15:47,got girly great youtube feed yea,,,1.0,Dua Lipa,[],susan08716246,post-release,Positive
245,https://twitter.com/sharlamarie_/status/1246219828827914244,https://twitter.com/sharlamarie_,2020-04-3 23:35:35,hallucinate,,,,Dua Lipa,[],sharlamarie_,post-release,Neutral
246,https://twitter.com/swifftizer/status/1246292541273710592,https://twitter.com/swifftizer,2020-04-4 4:24:31,artwork never knew needed life,,,,Dua Lipa,[],swifftizer,post-release,Neutral
247,https://twitter.com/Ed_hly/status/1246538557549727744,https://twitter.com/Ed_hly,2020-04-4 20:42:6,check,,,,Dua Lipa,[],Ed_hly,post-release,Neutral
248,https://twitter.com/LarisawWhite/status/1246144730464952321,https://twitter.com/LarisawWhite,2020-04-3 18:37:10,wow,,,,Dua Lipa,[],LarisawWhite,post-release,Positive
249,https://twitter.com/DaveCostaR/status/1246174617234014210,https://twitter.com/DaveCostaR,2020-04-3 20:35:56,adore,,,,Dua Lipa,[],DaveCostaR,post-release,Positive
