,Tweet_Website,Author_Web_Page_URL,Tweet_Time,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Artist,hashtags,users,Sentiment
1511,https://twitter.com/CSaraiF/status/1296826712215429125,https://twitter.com/CSaraiF,2020-08-21 15:9:16,holy shit thank god save year thanks,0,0,0,The Killers,[],CSaraiF,Positive
1512,https://twitter.com/AiluxRevenge/status/1296826768704364549,https://twitter.com/AiluxRevenge,2020-08-21 15:9:30,es un lbum excelente ya lo escuch varias veces estoy enamorada es sublime encanta running towards place creo que despus de sams town viene este lbum como el segundo preferido los amo,0,0,0,The Killers,[],AiluxRevenge,Neutral
1513,https://twitter.com/t_hekillersfan/status/1296826789734604800,https://twitter.com/t_hekillersfan,2020-08-21 15:9:35,joyita de disco,0,0,0,The Killers,[],t_hekillersfan,Neutral
1514,https://twitter.com/103amf/status/1296826820235599875,https://twitter.com/103amf,2020-08-21 15:9:42,fantastic album cannot stop listening x,0,0,0,The Killers,[],103amf,Positive
1515,https://twitter.com/PatrickKellihe2/status/1296826858713956358,https://twitter.com/PatrickKellihe2,2020-08-21 15:9:51,good miss old alt rock killers back brandon actually cool run mill christian pop officially hate favorite bands music,0,0,14,The Killers,[],PatrickKellihe2,Negative
1516,https://twitter.com/Pink_DirtyNeon/status/1296826902150340608,https://twitter.com/Pink_DirtyNeon,2020-08-21 15:10:2,love,0,0,0,The Killers,[],Pink_DirtyNeon,Positive
1517,https://twitter.com/Indounik/status/1296826933125103618,https://twitter.com/Indounik,2020-08-21 15:10:9,listening second time,0,0,0,The Killers,[],Indounik,Neutral
1518,https://twitter.com/thecrestedrose/status/1296826952536461319,https://twitter.com/thecrestedrose,2020-08-21 15:10:14,saved,0,0,0,The Killers,[],thecrestedrose,Positive
1519,https://twitter.com/sarahbalkeyy/status/1296827181780402178,https://twitter.com/sarahbalkeyy,2020-08-21 15:11:8,icons love,0,0,0,The Killers,[],sarahbalkeyy,Positive
1520,https://twitter.com/CSaraiF/status/1296827224516169728,https://twitter.com/CSaraiF,2020-08-21 15:11:18,hi please play still mexico city beginning,0,0,0,The Killers,[],CSaraiF,Positive
1521,https://twitter.com/DroneGeometric/status/1296827300336435200,https://twitter.com/DroneGeometric,2020-08-21 15:11:36,happy release day beautiful masterpiece,0,0,0,The Killers,[],DroneGeometric,Positive
1522,https://twitter.com/alexina_regu/status/1296827366690312192,https://twitter.com/alexina_regu,2020-08-21 15:11:52,listening,0,0,0,The Killers,[],alexina_regu,Neutral
1523,https://twitter.com/ChristaLouiseH/status/1296827742747537411,https://twitter.com/ChristaLouiseH,2020-08-21 15:13:22,loving,0,0,0,The Killers,[],ChristaLouiseH,Positive
